,tour,place,prize,team
0,ESL One Genting 2018,1,"$160,000","<img alt="""" height=""24"" src=""/commons/images/1/10/Gold.png"" width=""24""/>"
1,DreamLeague Season 8,1,"$500,000",Team Secret
2,DreamLeague Season 8,2,"$200,000",Team Liquid
3,DreamLeague Season 8,3,"$100,000",Evil Geniuses
4,DreamLeague Season 8,4,"$70,000",Natus Vincere
5,DreamLeague Season 8,5,"$45,000",Newbee
6,DreamLeague Season 8,5,"$45,000",Virtus.pro
7,DreamLeague Season 8,7,"$20,000",Fnatic
8,DreamLeague Season 8,7,"$20,000",Infamous
9,ESL One Hamburg 2017,1,"$500,000",Virtus.pro
10,ESL One Hamburg 2017,2,"$200,000",Team Secret
11,ESL One Hamburg 2017,3,"$90,000",Team Liquid
12,ESL One Hamburg 2017,3,"$90,000",Newbee
13,ESL One Hamburg 2017,5,"$40,000",Evil Geniuses
14,ESL One Hamburg 2017,5,"$40,000",Keen Gaming
15,ESL One Hamburg 2017,7,"$20,000",Fnatic
16,ESL One Hamburg 2017,7,"$20,000",SG e-sports
17,The International 2017,1,"$10,862,683",Team Liquid
18,The International 2017,2,"$3,950,067",Newbee
19,The International 2017,3,"$2,592,231",LGD.Forever Young
20,The International 2017,4,"$1,728,154",LGD Gaming
21,The International 2017,5,"$1,110,956",Virtus.pro
22,The International 2017,5,"$1,110,956",Invictus Gaming
23,The International 2017,7,"$617,198",Team Empire
24,The International 2017,7,"$617,198",OG
25,The International 2017,9,"$370,319",Team Secret
26,The International 2017,9,"$370,319",Evil Geniuses
27,The International 2017,9,"$370,319",TNC Pro Team
28,The International 2017,9,"$370,319",Digital Chaos
29,The International 2017,13,"$123,440",Execration
30,The International 2017,13,"$123,440",Cloud9
31,The International 2017,13,"$123,440",Infamous
32,The International 2017,13,"$123,440",iG Vitality
33,The International 2017,17,"$61,720",Fnatic
34,The International 2017,17,"$61,720",HellRaisers
35,Mars Dota 2 League 2017,1,"$112,500",LGD Gaming
36,Mars Dota 2 League 2017,2,"$50,000",LGD.Forever Young
37,Mars Dota 2 League 2017,3,"$31,250",Newbee
38,Mars Dota 2 League 2017,4,"$18,750",OG
39,Mars Dota 2 League 2017,5,"$12,500",Evil Geniuses
40,Mars Dota 2 League 2017,5,"$12,500",Invictus Gaming
41,Mars Dota 2 League 2017,7,"$6,250",Clutch Gamers
42,Mars Dota 2 League 2017,7,"$6,250",Vici Gaming
43,DOTA Summit 7,1,"$42,500",Virtus.pro
44,DOTA Summit 7,2,"$22,500",Team Secret
45,DOTA Summit 7,3,"$10,500",LGD Gaming
46,DOTA Summit 7,4,"$10,000",Team NP
47,DOTA Summit 7,5,"$3,500",Natus Vincere
48,DOTA Summit 7,6,"$1,000",Digital Chaos
49,DOTA Summit 7,7,"$2,500",Team Empire
50,DOTA Summit 7,7,"$2,500",Team VGJ
51,Galaxy Battles,1,"$69,000",Newbee
52,Galaxy Battles,2,"$22,500",Planet Odd
53,Galaxy Battles,3,"$18,000",TNC Pro Team
54,Galaxy Battles,4,"$13,500",mousesports
55,Galaxy Battles,5,"$9,000",iG Vitality
56,Galaxy Battles,5,"$9,000",Vici Gaming
57,Galaxy Battles,7,"$4,500",Infamous
58,Galaxy Battles,7,"$4,500",HappyFeet
59,EPICENTER 2017,1,"$250,000",Team Liquid
60,EPICENTER 2017,2,"$100,000",Evil Geniuses
61,EPICENTER 2017,3,"$40,000",Team Secret
62,EPICENTER 2017,3,"$40,000",LGD.Forever Young
63,EPICENTER 2017,5,"$20,000",Invictus Gaming
64,EPICENTER 2017,5,"$20,000",Virtus.pro
65,EPICENTER 2017,7,"$10,000",OG
66,EPICENTER 2017,7,"$10,000",Planet Odd
67,EPICENTER 2017,9,"$5,000",Natus Vincere
68,EPICENTER 2017,9,"$5,000",Clutch Gamers
69,ZOTAC Cup Masters,1,"$50,000",Newbee
70,ZOTAC Cup Masters,2,"$20,000",Team NP
71,ZOTAC Cup Masters,3,"$7,000",Fnatic
72,ZOTAC Cup Masters,3,"$7,000",iG Vitality
73,ZOTAC Cup Masters,5,"$5,000",Digital Chaos
74,ZOTAC Cup Masters,5,"$5,000",Danish Bears
75,ZOTAC Cup Masters,7,"$3,000",WarriorsGaming.Unity
76,ZOTAC Cup Masters,7,"$3,000",Team Singularity
77,The Manila Masters,1,"$125,000",Evil Geniuses
78,The Manila Masters,2,"$50,000",Newbee
79,The Manila Masters,3,"$25,000",Team NP
80,The Manila Masters,4,"$20,000",Team Faceless
81,The Manila Masters,5,"$10,000",Invictus Gaming
82,The Manila Masters,5,"$10,000",OG
83,The Manila Masters,7,"$5,000",Team Secret
84,The Manila Masters,7,"$5,000",Clutch Gamers
85,StarLadder i-League Invitational #2,1,"$45,000",Team Liquid
86,StarLadder i-League Invitational #2,2,"$20,000",TNC Pro Team
87,StarLadder i-League Invitational #2,3,"$10,000",Invictus Gaming
88,StarLadder i-League Invitational #2,3,"$10,000",Newbee
89,StarLadder i-League Invitational #2,5,"$5,000",Alliance
90,StarLadder i-League Invitational #2,5,"$5,000",Vega Squadron
91,StarLadder i-League Invitational #2,7,"$2,500",Team VGJ
92,StarLadder i-League Invitational #2,7,"$2,500",Team Faceless
93,The Kiev Major 2017,1,"$1,000,000",OG
94,The Kiev Major 2017,2,"$500,000",Virtus.pro
95,The Kiev Major 2017,3,"$250,000",Invictus Gaming
96,The Kiev Major 2017,3,"$250,000",Evil Geniuses
97,The Kiev Major 2017,5,"$125,000",Team Liquid
98,The Kiev Major 2017,5,"$125,000",Team Faceless
99,The Kiev Major 2017,5,"$125,000",Team VGJ
100,The Kiev Major 2017,5,"$125,000",SG e-sports
101,The Kiev Major 2017,9,"$62,500",mousesports
102,The Kiev Major 2017,9,"$62,500",Newbee
103,The Kiev Major 2017,9,"$62,500",Digital Chaos
104,The Kiev Major 2017,9,"$62,500",iG Vitality
105,The Kiev Major 2017,9,"$62,500",TNC Pro Team
106,The Kiev Major 2017,9,"$62,500",Team Random
107,The Kiev Major 2017,9,"$62,500",Thunderbirds
108,The Kiev Major 2017,9,"$62,500",Team Secret
109,Dota 2 Asia Championships 2017,1,"$244,798",Invictus Gaming
110,Dota 2 Asia Championships 2017,2,"$91,799",OG
111,Dota 2 Asia Championships 2017,3,"$73,439",Newbee
112,Dota 2 Asia Championships 2017,4,"$55,079",iG Vitality
113,Dota 2 Asia Championships 2017,5,"$36,719",Team Empire
114,Dota 2 Asia Championships 2017,5,"$36,719",Evil Geniuses
115,Dota 2 Asia Championships 2017,7,"$18,359",Team VGJ
116,Dota 2 Asia Championships 2017,7,"$18,359",Team Faceless
117,Dota 2 Asia Championships 2017,9,"$9,179",LGD.Forever Young
118,Dota 2 Asia Championships 2017,9,"$9,179",Team NP
119,Dota 2 Asia Championships 2017,9,"$9,179",Wings Gaming
120,Dota 2 Asia Championships 2017,9,"$9,179",Team Liquid
121,StarLadder i-League StarSeries Season 3,1,"$135,000",Team Liquid
122,StarLadder i-League StarSeries Season 3,2,"$60,000",Team VGJ
123,StarLadder i-League StarSeries Season 3,3,"$30,000",TNC Pro Team
124,StarLadder i-League StarSeries Season 3,3,"$30,000",OG
125,StarLadder i-League StarSeries Season 3,5,"$15,000",Team Secret
126,StarLadder i-League StarSeries Season 3,5,"$15,000",Wings Gaming
127,StarLadder i-League StarSeries Season 3,7,"$7,500",iG Vitality
128,StarLadder i-League StarSeries Season 3,7,"$7,500",Digital Chaos
129,Dota Pit League Season 5,1,"$62,937",Evil Geniuses
130,Dota Pit League Season 5,2,"$34,965",OG
131,Dota Pit League Season 5,3,"$25,174",Team Faceless
132,Dota Pit League Season 5,4,"$16,783",Invictus Gaming
133,Dota Pit League Season 5,4,"$16,783",Team Secret
134,Dota Pit League Season 5,4,"$16,783",Virtus.pro
135,Dota Pit League Season 5,4,"$16,783",Elements Pro
136,Dota Pit League Season 5,4,"$16,783",Digital Chaos
137,World Electronic Sports Games 2016,1,"$800,000",TNC Pro Team
138,World Electronic Sports Games 2016,2,"$400,000",Cloud9
139,World Electronic Sports Games 2016,3,"$200,000",Alliance
140,World Electronic Sports Games 2016,4,"$60,000",Infamous
141,World Electronic Sports Games 2016,5,"$10,000",To.be.or.not.to.be
142,World Electronic Sports Games 2016,5,"$10,000",DUOBAO Young
143,World Electronic Sports Games 2016,5,"$10,000",SG e-sports
144,World Electronic Sports Games 2016,5,"$10,000",Team DileCom
145,World Electronic Sports Games 2016,5,"$10,000",Dark Passage
146,World Electronic Sports Games 2016,5,"$10,000",MAX.Y
147,World Electronic Sports Games 2016,5,"$10,000",MVP Revolution
148,World Electronic Sports Games 2016,5,"$10,000",Romania
149,World Electronic Sports Games 2016,5,"$10,000",Horde
150,World Electronic Sports Games 2016,5,"$10,000",Fantastic Five
151,World Electronic Sports Games 2016,5,"$10,000",s1 Lykos
152,World Electronic Sports Games 2016,5,"$10,000",Ukraine
153,World Electronic Sports Games 2016,5,"$10,000",Bravado Gaming
154,World Electronic Sports Games 2016,5,"$10,000",Team X-BET
155,World Electronic Sports Games 2016,5,"$10,000",Aboshamalah
156,World Electronic Sports Games 2016,5,"$10,000",Comanche
157,World Electronic Sports Games 2016,5,"$10,000",T Show
158,World Electronic Sports Games 2016,5,"$10,000",Vultur
159,World Electronic Sports Games 2016,5,"$10,000",Team One Ecuador
160,World Electronic Sports Games 2016,5,"$10,000",Signature.Trust
161,ESL One Genting 2017,1,"$125,000",Digital Chaos
162,ESL One Genting 2017,2,"$50,000",Newbee
163,ESL One Genting 2017,3,"$22,500",Virtus.pro
164,ESL One Genting 2017,3,"$22,500",Wings Gaming
165,ESL One Genting 2017,5,"$10,000",Team NP
166,ESL One Genting 2017,5,"$10,000",Execration
167,ESL One Genting 2017,7,"$5,000",Fnatic
168,ESL One Genting 2017,7,"$5,000",WarriorsGaming.Unity
169,World Cyber Arena 2016,1,"$344,928",iG Vitality
170,World Cyber Arena 2016,2,"$143,720",Vici Gaming
171,World Cyber Arena 2016,3,"$71,860",We Are Young
172,World Cyber Arena 2016,4,"$28,744",Prodota Gaming
173,World Cyber Arena 2016,4,"$28,744",VINCE TE IPSUM
174,World Cyber Arena 2016,4,"$28,744",Vega Squadron
175,World Cyber Arena 2016,4,"$28,744",Newbee
176,World Cyber Arena 2016,4,"$28,744",WarriorsGaming.Unity
177,World Cyber Arena 2016,4,"$28,744",TNC Pro Team
178,World Cyber Arena 2016,4,"$28,744",Union Gaming BO
179,The Boston Major 2016,1,"$1,000,000",OG
180,The Boston Major 2016,2,"$500,000",Ad Finem
181,The Boston Major 2016,3,"$250,000",Evil Geniuses
182,The Boston Major 2016,3,"$250,000",Digital Chaos
183,The Boston Major 2016,5,"$125,000",Virtus.pro
184,The Boston Major 2016,5,"$125,000",WarriorsGaming.Unity
185,The Boston Major 2016,5,"$125,000",Team NP
186,The Boston Major 2016,5,"$125,000",LGD.Forever Young
187,The Boston Major 2016,9,"$62,500",iG Vitality
188,The Boston Major 2016,9,"$62,500",Wings Gaming
189,The Boston Major 2016,9,"$62,500",compLexity Gaming
190,The Boston Major 2016,9,"$62,500",MVP Phoenix
191,The Boston Major 2016,9,"$62,500",Team Faceless
192,The Boston Major 2016,9,"$62,500",EHOME
193,The Boston Major 2016,9,"$62,500",Newbee
194,The Boston Major 2016,9,"$62,500",LGD Gaming
195,The Summit 6,1,"$42,500",Virtus.pro
196,The Summit 6,2,"$22,500",OG
197,The Summit 6,3,"$13,000",Evil Geniuses
198,The Summit 6,4,"$10,000",Wings Gaming
199,The Summit 6,5,"$3,500",Team NP
200,The Summit 6,5,"$3,500",Digital Chaos
201,The Summit 6,7,"$2,500",EHOME
202,The Summit 6,7,"$2,500",Team Faceless
203,Northern Arena BEAT Invitational,1,"$48,000",Wings Gaming
204,Northern Arena BEAT Invitational,2,"$20,000",Team NP
205,Northern Arena BEAT Invitational,3,"$12,000",EHOME
206,Northern Arena BEAT Invitational,4,"$8,000",Evil Geniuses
207,Northern Arena BEAT Invitational,5,"$4,000",Ad Finem
208,Northern Arena BEAT Invitational,5,"$4,000",Alliance
209,Northern Arena BEAT Invitational,7,"$2,000",FDL
210,Northern Arena BEAT Invitational,7,"$2,000",compLexity Gaming
211,Mars Dota 2 League 2016 Autumn,1,"$112,500",Evil Geniuses
212,Mars Dota 2 League 2016 Autumn,2,"$50,000",Newbee
213,Mars Dota 2 League 2016 Autumn,3,"$31,250",OG
214,Mars Dota 2 League 2016 Autumn,4,"$18,750",Team Secret
215,Mars Dota 2 League 2016 Autumn,5,"$12,500",Vici Gaming
216,Mars Dota 2 League 2016 Autumn,5,"$12,500",LGD.Forever Young
217,Mars Dota 2 League 2016 Autumn,7,"$6,250",MVP Phoenix
218,Mars Dota 2 League 2016 Autumn,7,"$6,250",iG Vitality
219,The International 2016,1,"$9,139,002",Wings Gaming
220,The International 2016,2,"$3,427,126",Digital Chaos
221,The International 2016,3,"$2,180,898",Evil Geniuses
222,The International 2016,4,"$1,453,932",Fnatic
223,The International 2016,5,"$934,761",EHOME
224,The International 2016,5,"$934,761",MVP Phoenix
225,The International 2016,7,"$519,262",TNC Pro Team
226,The International 2016,7,"$519,262",Team Liquid
227,The International 2016,9,"$311,557",OG
228,The International 2016,9,"$311,557",LGD Gaming
229,The International 2016,9,"$311,557",Alliance
230,The International 2016,9,"$311,557",Newbee
231,The International 2016,13,"$103,852",Vici Gaming Reborn
232,The International 2016,13,"$103,852",Team Secret
233,The International 2016,13,"$103,852",Escape Gaming
234,The International 2016,13,"$103,852",Natus Vincere
235,SL i-League StarSeries Season 2,1,"$135,000",Natus Vincere
236,SL i-League StarSeries Season 2,2,"$60,000",Team Secret
237,SL i-League StarSeries Season 2,3,"$37,500",Fnatic
238,SL i-League StarSeries Season 2,4,"$22,500",F.R.I.E.N.D.S.
239,SL i-League StarSeries Season 2,5,"$15,000",Digital Chaos
240,SL i-League StarSeries Season 2,5,"$15,000",Evil Geniuses
241,SL i-League StarSeries Season 2,7,"$7,500",CDEC Youth
242,SL i-League StarSeries Season 2,7,"$7,500",compLexity Gaming
243,The Summit 5,1,"$42,944",Wings Gaming
244,The Summit 5,2,"$22,735",OG
245,The Summit 5,3,"$13,136",Team Liquid
246,The Summit 5,4,"$10,104",Natus Vincere
247,The Summit 5,5,"$3,537",Digital Chaos
248,The Summit 5,5,"$3,537",Fnatic
249,The Summit 5,7,"$2,526",FDL
250,The Summit 5,7,"$2,526",Ad Finem
251,Nanyang Dota 2 Championships Season 2,1,"$100,610",Newbee
252,Nanyang Dota 2 Championships Season 2,2,"$50,305",Wings Gaming
253,Nanyang Dota 2 Championships Season 2,3,"$25,152",LGD Gaming
254,Nanyang Dota 2 Championships Season 2,4,"$10,102",CDEC Youth
255,Nanyang Dota 2 Championships Season 2,5,"$7,551",Digital Chaos
256,Nanyang Dota 2 Championships Season 2,5,"$7,551",Vici Gaming Reborn
257,Nanyang Dota 2 Championships Season 2,5,"$7,551",Team Empire
258,Nanyang Dota 2 Championships Season 2,5,"$7,551",WarriorsGaming.Unity
259,ESL One Frankfurt 2016,1,"$157,273",OG
260,ESL One Frankfurt 2016,2,"$62,909",Natus Vincere
261,ESL One Frankfurt 2016,3,"$28,309",Vega Squadron
262,ESL One Frankfurt 2016,3,"$28,309",Team Liquid
263,ESL One Frankfurt 2016,5,"$12,582",compLexity Gaming
264,ESL One Frankfurt 2016,5,"$12,582",Alliance
265,ESL One Frankfurt 2016,7,"$6,291",Virtus.pro
266,ESL One Frankfurt 2016,7,"$6,291",Fnatic
267,The Manila Major 2016,1,"$1,110,000",OG
268,The Manila Major 2016,2,"$405,000",Team Liquid
269,The Manila Major 2016,3,"$315,000",Newbee
270,The Manila Major 2016,4,"$255,000",LGD Gaming
271,The Manila Major 2016,5,"$202,500",Fnatic
272,The Manila Major 2016,5,"$202,500",MVP Phoenix
273,The Manila Major 2016,7,"$105,000",Natus Vincere
274,The Manila Major 2016,7,"$105,000",Vici Gaming Reborn
275,The Manila Major 2016,9,"$45,000",compLexity Gaming
276,The Manila Major 2016,9,"$45,000",Alliance
277,The Manila Major 2016,9,"$45,000",Digital Chaos
278,The Manila Major 2016,9,"$45,000",Team Empire
279,The Manila Major 2016,13,"$30,000",Wings Gaming
280,The Manila Major 2016,13,"$30,000",Mineski.Sports5
281,The Manila Major 2016,13,"$30,000",Evil Geniuses
282,The Manila Major 2016,13,"$30,000",Team Secret
283,EPICENTER 2016,1,"$250,000",Team Liquid
284,EPICENTER 2016,2,"$100,000",Newbee
285,EPICENTER 2016,3,"$60,000",OG
286,EPICENTER 2016,4,"$30,000",compLexity Gaming
287,EPICENTER 2016,5,"$20,000",Alliance
288,EPICENTER 2016,5,"$20,000",Evil Geniuses
289,EPICENTER 2016,7,"$10,000",Team Secret
290,EPICENTER 2016,7,"$10,000",Virtus.pro
291,WePlay Dota2 League Season 3,1,"$104,120",MVP Phoenix
292,WePlay Dota2 League Season 3,2,"$41,648",Vega Squadron
293,WePlay Dota2 League Season 3,3,"$22,906",Evil Geniuses
294,WePlay Dota2 League Season 3,4,"$12,494",Team Empire
295,WePlay Dota2 League Season 3,5,"$8,330",Elite Wolves
296,WePlay Dota2 League Season 3,5,"$8,330",Natus Vincere
297,WePlay Dota2 League Season 3,7,"$5,206",Ad Finem
298,WePlay Dota2 League Season 3,7,"$5,206",Team Spirit
299,ESL One Manila 2016,1,"$100,000",Wings Gaming
300,ESL One Manila 2016,2,"$50,000",Team Liquid
301,ESL One Manila 2016,3,"$25,000",Team Empire
302,ESL One Manila 2016,3,"$25,000",Fnatic
303,ESL One Manila 2016,5,"$12,500",Team Secret
304,ESL One Manila 2016,5,"$12,500",compLexity Gaming
305,ESL One Manila 2016,7,"$12,500",Mineski.Sports5
306,ESL One Manila 2016,7,"$12,500",EHOME
307,StarLadder i-League Invitational #1,1,"$45,000",Vici Gaming Reborn
308,StarLadder i-League Invitational #1,2,"$20,000",Natus Vincere
309,StarLadder i-League Invitational #1,3,"$12,000",LGD Gaming
310,StarLadder i-League Invitational #1,4,"$7,500",OG
311,StarLadder i-League Invitational #1,5,"$5,000",Alliance
312,StarLadder i-League Invitational #1,5,"$5,000",Virtus.pro
313,StarLadder i-League Invitational #1,7,"$2,500",MVP Phoenix
314,StarLadder i-League Invitational #1,7,"$2,500",Vega Squadron
315,Dota Pit League Season 4,1,"$97,637",MVP Phoenix
316,Dota Pit League Season 4,2,"$46,866",Evil Geniuses
317,Dota Pit League Season 4,3,"$25,386",compLexity Gaming
318,Dota Pit League Season 4,3,"$25,386",Natus Vincere
319,Dota Pit League Season 4,3,"$25,386",Virtus.pro
320,Dota Pit League Season 4,3,"$25,386",OG
321,Dota Pit League Season 4,3,"$25,386",Team Secret
322,Dota Pit League Season 4,3,"$25,386",Team Empire
323,The Shanghai Major 2016,1,"$1,110,000",Team Secret
324,The Shanghai Major 2016,2,"$405,000",Team Liquid
325,The Shanghai Major 2016,3,"$315,000",Evil Geniuses
326,The Shanghai Major 2016,4,"$255,000",MVP Phoenix
327,The Shanghai Major 2016,5,"$202,500",compLexity Gaming
328,The Shanghai Major 2016,5,"$202,500",Fnatic
329,The Shanghai Major 2016,7,"$105,000",Alliance
330,The Shanghai Major 2016,7,"$105,000",OG
331,The Shanghai Major 2016,9,"$45,000",EHOME
332,The Shanghai Major 2016,9,"$45,000",LGD Gaming
333,The Shanghai Major 2016,9,"$45,000",Virtus.pro
334,The Shanghai Major 2016,9,"$45,000",Newbee
335,The Shanghai Major 2016,13,"$30,000",Team Archon
336,The Shanghai Major 2016,13,"$30,000",Team Spirit
337,The Shanghai Major 2016,13,"$30,000",Vici Gaming
338,The Shanghai Major 2016,13,"$30,000",CDEC Gaming
339,MarsTV Dota 2 League 2015 Winter,1,"$124,950",EHOME
340,MarsTV Dota 2 League 2015 Winter,2,"$55,533",Evil Geniuses
341,MarsTV Dota 2 League 2015 Winter,3,"$27,766",OG
342,MarsTV Dota 2 League 2015 Winter,4,"$22,213",LGD Gaming
343,MarsTV Dota 2 League 2015 Winter,5,"$13,883",Newbee
344,MarsTV Dota 2 League 2015 Winter,5,"$13,883",Vici Gaming
345,MarsTV Dota 2 League 2015 Winter,7,"$6,941",Team Secret
346,MarsTV Dota 2 League 2015 Winter,7,"$6,941",compLexity Gaming
347,MarsTV Dota 2 League 2015 Winter,9,"$2,776",Team Spirit
348,MarsTV Dota 2 League 2015 Winter,9,"$2,776",Mineski.Sports5
349,SL i-League StarSeries Season 1,1,"$120,891",Alliance
350,SL i-League StarSeries Season 1,2,"$60,445",Evil Geniuses
351,SL i-League StarSeries Season 1,3,"$30,223",LGD Gaming
352,SL i-League StarSeries Season 1,3,"$30,223",Team Liquid
353,SL i-League StarSeries Season 1,5,"$15,111",Vega Squadron
354,SL i-League StarSeries Season 1,5,"$15,111",Team Secret
355,SL i-League StarSeries Season 1,7,"$5,047",Fnatic
356,SL i-League StarSeries Season 1,7,"$5,047",Virtus.pro
357,SL i-League StarSeries Season 1,7,"$5,047",Natus Vincere
358,SL i-League StarSeries Season 1,7,"$5,047",Wings Gaming
359,SL i-League StarSeries Season 1,7,"$5,047",Team Spirit
360,SL i-League StarSeries Season 1,7,"$5,047",compLexity Gaming
361,World Cyber Arena 2015,1,"$370,200",Alliance
362,World Cyber Arena 2015,2,"$169,675",LGD Gaming
363,World Cyber Arena 2015,3,"$77,125",Team Liquid
364,World Cyber Arena 2015,4,"$46,275",Wings Gaming
365,World Cyber Arena 2015,4,"$46,275",Team Leviathan
366,World Cyber Arena 2015,4,"$46,275",CDEC Gaming
367,World Cyber Arena 2015,4,"$46,275",Team Empire
368,World Cyber Arena 2015,4,"$46,275",TNC Pro Team
369,World Cyber Arena 2015,4,"$46,275",Team Secret
370,World Cyber Arena 2015,4,"$46,275",Team YP
371,World Cyber Arena 2015,4,"$46,275",Invictus Gaming
372,World Cyber Arena 2015,4,"$46,275",MVP Phoenix
373,World Cyber Arena 2015,4,"$46,275",Fnatic
